content,index
"By Sam Wong
 , Adam Vaughan
 , Conrad Quilty-Harper
 and Layal Liverpool
Protesters in North Carolin want the state economy to be opened up no later than April 29.
LOGAN CYRUS/AFP via Getty Images
Latest coronavirus news as of 5 pm on 16 April
Millions… [+72408 chars]",34
"Subscribe
Start Your Daily Mornings with Times of India Newspaper!Order Now",35
"(Reuters) - Michigan Governor Gretchen Whitmer faces at least two federal lawsuits challenging her April 9 executive order to combat the coronavirus outbreak, including requirements that residents stay at home and most businesses close. 
In complaints filed … [+1921 chars]",36
RAND,37
"The International Monetary Fund (IMF) says Asias economic growth this year will come to a halt for the first time in 60 years.
The lack of growth will be ""worse than the annual average growth rates throughout the Global Financial Crisis (4.7%) or the Asian F… [+273 chars]",38
"By Christiana Figueres
 and Tom Rivett-Carnac
Josie Ford
WE HAVE known for some time that 2020 was going to be a milestone year for the climate change crisis, requiring a radical reversal of the current trajectory in global greenhouse gas emissions. But wh… [+3451 chars]",39
"WASHINGTON (Reuters) - A record 22 million Americans have sought unemployment benefits over the past month, with millions more filing claims last week, almost wiping out all the job gains since the Great Recession and underscoring the toll on the economy from… [+5301 chars]",40
RAND,41
"Just months after Chinese officials identified a small cluster of unexplained pneumonia cases in the city of Wuhan, scientists around the globe have broken down the coronavirus at unprecedented speed in an effort to save lives and stop its spread.
The first … [+5540 chars]",42
"After experiencing a nagging cough and fever, Detroit Free Press reporter M.L. Elrick took a trip to Detroit's drive-thru coronavirus test site.
Wochit
Writing about COVID-19 was frightening, but I thought I could handle it until it struck both my husband a… [+10370 chars]",43
"(CNN)State officials struggling with how to ease coronavirus shutdowns without setting off another deadly wave of infections say the decision will come down to testing capabilities. 
More than 630,000 people have tested positive in the US with at least 30,84… [+5729 chars]",44
"You have to be extremely ill to justify admission to a mental health ward here in Britain. Compare the 18,000 beds available on such units today with the 67,000 in the 1980s. This rapid reduction doesnt reflect an improvement in the nations mental health, but… [+834 chars]",45
"HuffPost reporters around the world are tracking the pandemic and the measures being taken to flatten the curve of transmission.
Read the latest updates on the coronavirus pandemic below. (To see the latest updates, you may need to refresh the page. All time… [+4887 chars]",46
"By Annalee Newitz
Luis Alvarez/Getty Images
AS THE coronavirus pandemic shuts down public life on the streets, a new kind of life is opening up online. Many people who are lucky enough to still have their jobs are working from home, often experimenting with… [+380 chars]",47
RAND,48
Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,49
"Updated 
April 16, 2020 22:56:57
A Tasmanian healthcare worker who has tested positive for coronavirus has also worked shifts in three nursing homes, authorities say.
Key points:
<ul><li>There are no coronavirus cases in Tasmanian nursing homes</li><li>A … [+3045 chars]",50
European law enforcement and security officials are scrambling to identify vandals targeting 5G cellular towers after a series of attacks on telecom sites in the Netherlands this week. The attacks are linked to conspiracy theories that the new high-speed Inte… [+3975 chars],51
"Using simple techniques, we found annotation errors on more than 20% of popular open source datasets like VOC or COCO. By manually correcting those errors, we got an average error reduction of 5% for state-of-the-art computer vision models (and up to 8.3% for… [+5777 chars]",52
"As Washington policymakers scramble to contain the fallout from the coronavirus crisis, the question of how quickly to reopen the economy has emerged as the latest political battleground dividing the two parties.
Behind President TrumpDonald John TrumpRepubl… [+8321 chars]",53
RAND,54
"Britain extended its nationwide lockdown for at least another 3 weeks on Thursday, as stand-in leader Dominic Raab ordered Britons to stay at home to prevent the spread of a coronavirus outbreak which has already claimed over 138,000 lives globally.
Relaxing… [+2808 chars]",55
"The charts track the total number of confirmed COVID-19 cases and related deaths, and the testing rates across States and U.T.s.
Cases
The charts below shows a progression of coronavirus cases since the first case in a State or U.T.
Tap on the blue line an… [+2323 chars]",56
"By Paul Ramchandani
Josie Ford
THE direct impact of covid-19 on children seems to be less severe than on adults, but indirect and hidden consequences will have a lasting effect. The choices we make now can stave off some of the worst of these.
Across much … [+3050 chars]",57
"By Annalee Newitz
Luis Alvarez/Getty Images
AS THE coronavirus pandemic shuts down public life on the streets, a new kind of life is opening up online. Many people who are lucky enough to still have their jobs are working from home, often experimenting with… [+380 chars]",58
"Posted 
April 17, 2020 03:03:51
Travel is one of the backbones of Australian life whether you routinely hit the ski slopes over winter, take the boat off the coast or go camping in the nearest national park.
The Federal Government and health authorities ha… [+4991 chars]",59
"By Wednesday, the novel coronavirus outbreak in the United States had grown to more than 639,000 cases in all 50 states, the District of Columbia and Puerto Rico. There are outbreak clusters in New York, Washington state and California, according to Johns Hop… [+2806 chars]",60
"But much of the countrys focus in recent days has been on widespread speculation that Bolsonaro is about to fire his health minister, Luiz Henrique Mandetta, after Mandetta criticized the president on a popular news show for refusing to abide by the ministrys… [+5744 chars]",61
"(CNN)US intelligence and national security officials say the United States government is looking into the possibility that the novel coronavirus originated in a Chinese laboratory rather than a market, according to multiple sources familiar with the matter wh… [+4022 chars]",62
"Posted 
April 16, 2020 18:08:26
A 76-year-old Californian man who died from coronavirus complications after travelling on the Ruby Princess has become the first confirmed international fatality from the stricken cruise ship.
Key points: 
<ul><li>Nineteen … [+3713 chars]",63
"An additional 5.2 million Americans filed for unemployment insurance last week, the U.S. Department of Labor said Thursday.
This brings the total to more than 20 million people who have already applied for unemployment insurance amid the COVID-19 pandemic, a… [+1400 chars]",64
RAND,65
RAND,66
"Dr. Mark Pochapin, the Vice-Chair for Clinical Affairs at NYU Langone, is one of the many healthcare professionals around the country who are on the front lines of the coronavirus outbreak. In a new interview with Katie Couric, part of a video series with TIM… [+1328 chars]",67
RAND,68
"Subscribe
Start Your Daily Mornings with Times of India Newspaper!Order Now",69
European law enforcement and security officials are scrambling to identify vandals targeting 5G cellular towers after a series of attacks on telecom sites in the Netherlands this week. The attacks are linked to conspiracy theories that the new high-speed Inte… [+3975 chars],70
RAND,71
"WASHINGTON (Reuters) - A $350 billion emergency U.S. loan program designed to help small businesses keep workers on their payrolls amid the novel coronavirus disruption has run out of funds, the U.S. Small Business Administration said in an email on Thursday.… [+1491 chars]",72
RAND,73
"Good morning and welcome to the Independents rolling coverage of the coronavirus pandemic.Here are the latest updates:
- The UK government is set to announce today a three-week extension to the countrys coronavirus lockdown. The emergency Cobra committee, ch… [+1977 chars]",74
"ED registers money laundering case against Tablighi Jamaat chief, others
The Enforcement Directorate (ED) on Thursday registered a money laundering case against Tablighi Jamaat chief Maulana Saad and others under Prevention of Money Laundering Act (PMLA) bas… [+754 chars]",75
"By Graham Lawton
A London health care worker takes a man from an ambulance.
Justin Setterfield/Getty Images
We know that older people are more vulnerable to covid-19, but another major risk factor has emerged: being male.
The first signs of a sex differen… [+4343 chars]",76
"Here are four ways consumers can help support small businesses who are struggling financially during the coronavirus pandemic.
Wochit
Sen. John Kennedy said Thursday that restrictive measures aimed at slowing the spread of the coronavirus are not worth the … [+5539 chars]",77
"Dr. Mark Pochapin, the Vice-Chair for Clinical Affairs at NYU Langone, is one of the many healthcare professionals around the country who are on the front lines of the coronavirus outbreak. In a new interview with Katie Couric, part of a video series with TIM… [+1328 chars]",78
"(CNN)As the US begins to discuss reopening the country, health experts and officials see the development of coronavirus tests, treatments and preventative strategies as crucial to taking the first step towards normalcy.
Here's what we know about where possib… [+4532 chars]",79
"The U.S. is currently facing a shortage of ventilators. Here's how they work and why they are so important in fighting COVID-19.
USA TODAY
Trump ignores, exaggerates, lies and answers questions he hasn't been asked. Pressure is the only way to capture a sha… [+7573 chars]",80
RAND,81
"The charts track the total number of confirmed COVID-19 cases and related deaths, and the testing rates across States and U.T.s.
Cases
The charts below shows a progression of coronavirus cases since the first case in a State or U.T.
Tap on the blue line an… [+2323 chars]",82
"Posted 
April 16, 2020 18:22:30
Australians are getting antsy over the social restrictions currently in place, prompting the Government to outline what needs to happen before things can change.
But Prime Minister Scott Morrison is careful to temper optimis… [+5097 chars]",83
"A textbook example of a bad error message
Graphics by Michele Doying / The Verge
The United States Internal Revenue Service launched a website for tracking coronavirus stimulus checks today, but some users are getting told their payment status is not availa… [+3127 chars]",84
RAND,85
"Game of Thrones star Kristofer Hivju on Wednesday revealed he has ""fully recovered"" after testing positive for the coronavirus (COVID-19) last month. 
The actor shared the happy news on his social media after being in quarantine for ""several weeks."" In an In… [+1338 chars]",86
"Millions of people in America are under shelter-in-place orders requiring them to stay home whenever possible, but a growing number don’t have that luxury. Their landlords are kicking them out for not paying the rent, despite moratoriums on evictions in more … [+13259 chars]",87
"New York to extend shutdown of nonessential businesses until May 15 -- Gov. Cuomo 
 Decision was made in coordination with other states -- Gov. Cuomo 
 Governor says nonessential workers should continue to stay home 
...",88
"By Paul Ramchandani
Josie Ford
THE direct impact of covid-19 on children seems to be less severe than on adults, but indirect and hidden consequences will have a lasting effect. The choices we make now can stave off some of the worst of these.
Across much … [+3050 chars]",89
The TIME 100 community on navigating our new reality,90
"After experiencing a nagging cough and fever, Detroit Free Press reporter M.L. Elrick took a trip to Detroit's drive-thru coronavirus test site.
Wochit
Writing about COVID-19 was frightening, but I thought I could handle it until it struck both my husband a… [+10370 chars]",91
"SINGAPORE — At around 4 p.m. on March 26, a Thursday, I got a text message from the yoga studio where I moonlight as a part-time instructor. A student who’d been in one of my classes a week earlier had tested positive for the coronavirus. Be prepared to be qu… [+12892 chars]",92
"Image copyrightGetty ImagesImage caption
 California has stayed ahead of the curve
After a resident of California died of coronavirus on 4 March, Governor Gavin Newsom declared a state of emergency. It was the first Covid-19 related death in the US outside … [+6871 chars]",93
"Since she graduated high school, Kayla Stetzel, a 26-year-old law student living in Chicago, hadn’t spent any significant time in her father’s house in Indiana. Then the COVID-19 pandemic hit.
Not wanting to spend months alone in her small city apartment, St… [+5308 chars]",94
"Britain extended its nationwide lockdown for at least another 3 weeks on Thursday, as stand-in leader Dominic Raab ordered Britons to stay at home to prevent the spread of a coronavirus outbreak which has already claimed over 138,000 lives globally.
Relaxing… [+2808 chars]",95
"New Zealand Prime Minister Jacinda Ardern said Thursday that stringent restrictions would likely remain in place even if the country begins easing out of lockdown.
We have an opportunity to do something no other country has achieved, elimination of the virus… [+1559 chars]",96
"26 with 18 posters participating, including story author
<ul><li>
 As I'm based in DC, I tend to go to the cars and coffee events at Katie's Coffee House in Great Falls, Virginia. In 2015, I got to take this Audi R8 V10+ alongyou can check out the review he… [+6996 chars]",97
RAND,98
Nurse Mike Gulick was meticulous about not bringing the coronavirus home to his wife and their 2-year-old daughter. Hed stop at a hotel after work just to take a shower. Hed wash his clothes in Lysol disinfectant. They did a tremendous amount of handwashing.,99
RAND,100
"Subscribe
Start Your Daily Mornings with Times of India Newspaper!Order Now",101
"Enlarge/ Fire-damaged cables protrude from the base of a telecom tower, reported in local media as being a 5G network mast on the EE network, operated by BT Group Plc, in Birmingham, U.K., on Monday, April 6, 2020. 
132 with 85 posters participating
At abou… [+7353 chars]",102
RAND,103
"Subscribe
Start Your Daily Mornings with Times of India Newspaper!Order Now",104
"Britain extended its nationwide lockdown for at least another 3 weeks on Thursday, as stand-in leader Dominic Raab ordered Britons to stay at home to prevent the spread of a coronavirus outbreak which has already claimed over 138,000 lives globally.
Relaxing… [+2808 chars]",105
"An additional 5.2 million Americans filed for unemployment insurance last week, the U.S. Department of Labor said Thursday.
This brings the total to more than 20 million people who have already applied for unemployment insurance amid the COVID-19 pandemic, a… [+1400 chars]",106
"WUHAN, China (Reuters) - Peng Jing stifles a laugh as she looks into the eyes of her tuxedo-clad fiancee, Yao Bin, who is in turn trying not to step on the long train of her white wedding dress. 
“Smile!”, shouts the photographer as he snaps away. 
Weddings… [+2370 chars]",107
"The journalists at BuzzFeed News are proud to bring you trustworthy and relevant reporting about the coronavirus. To help keep this news free,become a memberand sign up for our newsletter,Outbreak Today.
WASHINGTON An inmate at a Louisiana prison was choked … [+9357 chars]",108
"Image copyrightGetty ImagesImage caption
 As cases have risen in Japan, criticism of the government's response has grown louder
A nationwide state of emergency has been declared in Japan due to the countrys worsening coronavirus outbreak.
The move allows r… [+2604 chars]",109
RAND,110
RAND,111
"26 with 18 posters participating, including story author
<ul><li>
 As I'm based in DC, I tend to go to the cars and coffee events at Katie's Coffee House in Great Falls, Virginia. In 2015, I got to take this Audi R8 V10+ alongyou can check out the review he… [+6996 chars]",112
RAND,113
"Posted 
April 17, 2020 03:03:51
Travel is one of the backbones of Australian life whether you routinely hit the ski slopes over winter, take the boat off the coast or go camping in the nearest national park.
The Federal Government and health authorities ha… [+4991 chars]",114
"President Donald Trump’s signature will appear on the $1,200 checks being mailed to low- and middle-income households in the coming weeks, according to two officials familiar with the decision.
Typically, a civil servant’s signature — the disbursing officer … [+1750 chars]",115
"Anne Bonney doesn’t typically consider herself an ideal pet owner. While she loves animals, the 46-year-old professional speaker spends lots of time on the road, making it hard to justify keeping a furry friend at home.
But many of Bonney’s upcoming events h… [+5051 chars]",116
"Countries already deeply indebted to Beijing through its Belt and Road Initiative (BRI) face increasing economic hardship caused by the Wuhan coronavirus pandemic, the South China Morning Postreported on Tuesday.
China uses the BRI to establish economically … [+2666 chars]",117
"Millions of people in America are under shelter-in-place orders requiring them to stay home whenever possible, but a growing number don’t have that luxury. Their landlords are kicking them out for not paying the rent, despite moratoriums on evictions in more … [+13259 chars]",118
"In the most severe cases of COVID-19, a patients lungs become so inflamed and full of fluid that they no longer deliver enough oxygen to the bloodstream to keep that person alive. One way to counteract this is by using a ventilator, which helps the patients l… [+13252 chars]",119
"We answer the often searched question: ""What are the symptoms of coronavirus versus the flu?""
USA TODAY
What will ""normal"" be like after coronavirus? Experts imagine a different world.
The coming weeks hold plenty of uncertainty as the world reels from the… [+6291 chars]",120
2020-04-16T13:00:16Z,121
"By Christiana Figueres
 and Tom Rivett-Carnac
Josie Ford
WE HAVE known for some time that 2020 was going to be a milestone year for the climate change crisis, requiring a radical reversal of the current trajectory in global greenhouse gas emissions. But wh… [+3451 chars]",122
"Craving the adrenaline of a live soccer game?
Well, Belarus, Burundi, Nicaragua and Tajikistan have you covered despite the fact that it may put players at risk.
The unlikely quartet appear to be the only countries that have continued to permit soccer leagu… [+1652 chars]",123
"New Zealand Prime Minister Jacinda Ardern said Thursday that stringent restrictions would likely remain in place even if the country begins easing out of lockdown.
We have an opportunity to do something no other country has achieved, elimination of the virus… [+1559 chars]",124
"Thousands of cars jammed streets surrounding Michigan's state capitol in protest of Gov. Gretchen Whitmer's stay-at-home order.
USA TODAY
WASHINGTON  Multiple states have seen protests as stay-a-home orders meant to curb the spread of the coronavirus contin… [+10105 chars]",125
"As the death toll mounts from the coronavirus pandemic, governors in 42 states have urged more than 300 million Americans to stay home. 
So it shocked some Petco employees this week to see shipments that are almost guaranteed to draw in more customers: Guine… [+14935 chars]",126
"HuffPost reporters around the world are tracking the pandemic and the measures being taken to flatten the curve of transmission.
Read the latest updates on the coronavirus pandemic below. (To see the latest updates, you may need to refresh the page. All time… [+4887 chars]",127
"How many cases are there in the US and where I live?
We are tracking the coronavirus outbreaks across the US and in your state with daily updated maps, total cases and deaths.
See the maps
What are the symptoms of COVID-19?
The most common symptoms, accor… [+2696 chars]",128
"Craving the adrenaline of a live soccer game?
Well, Belarus, Burundi, Nicaragua and Tajikistan have you covered despite the fact that it may put players at risk.
The unlikely quartet appear to be the only countries that have continued to permit soccer leagu… [+1652 chars]",129
RAND,130
"Anne Bonney doesn’t typically consider herself an ideal pet owner. While she loves animals, the 46-year-old professional speaker spends lots of time on the road, making it hard to justify keeping a furry friend at home.
But many of Bonney’s upcoming events h… [+5051 chars]",131
"By Sam Wong
 , Adam Vaughan
 , Conrad Quilty-Harper
 and Layal Liverpool
Protesters in North Carolin want the state economy to be opened up no later than April 29.
LOGAN CYRUS/AFP via Getty Images
Latest coronavirus news as of 5 pm on 16 April
Millions… [+72408 chars]",132
"ED registers money laundering case against Tablighi Jamaat chief, others
The Enforcement Directorate (ED) on Thursday registered a money laundering case against Tablighi Jamaat chief Maulana Saad and others under Prevention of Money Laundering Act (PMLA) bas… [+754 chars]",133
"Subscribe
Start Your Daily Mornings with Times of India Newspaper!Order Now",134
"Facebook users who have interacted with coronavirus misinformation will soon get alerts on the platform, the company announced on Thursday.
In the coming weeks, users have liked, shared, or commented on false content will receive a pop-up warning in their Ne… [+1372 chars]",135
"Two inmates escaped Thursday from a Wisconsin prison where staffers have been infected with the coronavirus, police and correctional officials said.
Thomas E. Deering, 46, and James R. Newman, 36, escaped from the Columbia County Correctional Institution in … [+1603 chars]",136
"SEOUL (Reuters) - South Korean health officials are investigating several possible explanations for a small but growing number of recovered coronavirus patients who later test positive for the virus again. 
Among the main possibilities are re-infection, a re… [+3169 chars]",137
RAND,138
"We answer the often searched question: ""What are the symptoms of coronavirus versus the flu?""
USA TODAY
What will ""normal"" be like after coronavirus? Experts imagine a different world.
The coming weeks hold plenty of uncertainty as the world reels from the… [+6291 chars]",139
"True Value Co. heard from its more than 4,500 affiliated hardware stores last month that hand sanitizer was flying off the shelves, leaving store staff with none for themselves.At the companys factory in Cary, Ill., which makes cleaning products and paint, Jo… [+11384 chars]",140
"Britain is extending its coronavirus lockdown measures by at least another three weeks, Foreign Minister Dominic Raab said Thursday.
The government's decision to prolong its shelter-in-place restrictions followed a meeting with scientists earlier in the day.… [+2392 chars]",141
"By Sam Wong
 , Adam Vaughan
 , Conrad Quilty-Harper
 and Layal Liverpool
Protesters in North Carolin want the state economy to be opened up no later than April 29.
LOGAN CYRUS/AFP via Getty Images
Latest coronavirus news as of 5 pm on 16 April
Millions… [+72408 chars]",142
"How many cases are there in the US and where I live?
We are tracking the coronavirus outbreaks across the US and in your state with daily updated maps, total cases and deaths.
See the maps
What are the symptoms of COVID-19?
The most common symptoms, accor… [+2696 chars]",143
"The Ministry of Home Affairs on Wednesday issued a set of revised guidelines to tackle COVID-19 pandemic. It has also issued standard operation protocol on social distancing at workplaces.
The Union Health Ministry in its daily COVID-19 update said that 10,4… [+2505 chars]",144
"Will governments sign on?
On Friday, Apple and Google announced an unprecedented project to track and halt the spread of the novel coronavirus and we havent stopped talking about it since. The project would use bluetooth signals to track who participants hav… [+2818 chars]",145
"Spain has doubled the number of daily coronavirus tests to 40,000, resulting in an increase of figures since the start of the pandemic, said Fernando Simón, the countrys director of health emergencies.
Even though the total overall number is up because of ex… [+1950 chars]",146
Wisdom and distractions for coping with a world changed by coronavirus,147
"After experiencing a nagging cough and fever, Detroit Free Press reporter M.L. Elrick took a trip to Detroit's drive-thru coronavirus test site.
Wochit
Writing about COVID-19 was frightening, but I thought I could handle it until it struck both my husband a… [+10370 chars]",148
"Britain’s stand-in Prime Minister, First Secretary Raab, has announced the nationwide shutdown has been formally extended by another three weeks, and has revealed the five tests the government has set to trigger an easing of restrictions.
Speaking from the P… [+3295 chars]",149
"Pokémon Go developer Niantic has made numerous efforts to make the mobile game playable while trainers are self-isolating during the coronavirus pandemic. In addition to Remote Raid Passes and cheap bundles of PokéBalls, Niantic will soon hold a play-at-home … [+1484 chars]",150
"A large consignment of testing kits for the novel coronavirus pandemic is scheduled to reach India from China on Thursday, sources have confirmed. The kits are expected to boost Indias testing capacity in a major way as the country aims to ramp up its testing… [+952 chars]",151
RAND,152
"Updated 
April 16, 2020 18:55:44
Nearly 30 per cent of all locally-acquired infections may have been spread by community transmission, up from 19 per cent three weeks ago, the latest government data shows.
This brings the number of confirmed cases acquired… [+10429 chars]",153
RAND,154
New York Gov. Andrew CuomoAndrew CuomoOvernight Health Care: Trump to release guidelines on easing social distancing on Thursday | Trump WHO cuts meet blowback | Officials warn of lack of testing supplies | Global cases surpass 2 millionBiden hits Trump over … [+1595 chars],155
"Subscribe
Start Your Daily Mornings with Times of India Newspaper!Order Now",156
"Craving the adrenaline of a live soccer game?
Well, Belarus, Burundi, Nicaragua and Tajikistan have you covered despite the fact that it may put players at risk.
The unlikely quartet appear to be the only countries that have continued to permit soccer leagu… [+1652 chars]",157
RAND,158
European law enforcement and security officials are scrambling to identify vandals targeting 5G cellular towers after a series of attacks on telecom sites in the Netherlands this week. The attacks are linked to conspiracy theories that the new high-speed Inte… [+3975 chars],159
"The COVID-19 pandemic has resulted in a slew of requests and orders to stay home and work remotely as much as possible, in an effort to slow the spread of the novel coronavirus. All that isolation means many are using video conferencing software like Zoom to … [+7685 chars]",160
"Since she graduated high school, Kayla Stetzel, a 26-year-old law student living in Chicago, hadn’t spent any significant time in her father’s house in Indiana. Then the COVID-19 pandemic hit.
Not wanting to spend months alone in her small city apartment, St… [+5308 chars]",161
"Emirates, the UAE-based airline, is testing passengers for COVID-19 on flights from its Dubai hub as part of an effort to contain the spread of the virus.
Passengers on a flight bound for Tunisia underwent a blood test administered by the Dubai Health Author… [+1016 chars]",162
"By Annalee Newitz
Luis Alvarez/Getty Images
AS THE coronavirus pandemic shuts down public life on the streets, a new kind of life is opening up online. Many people who are lucky enough to still have their jobs are working from home, often experimenting with… [+380 chars]",163
"Chris Davis, portfolio manager at Davis Advisors, knows a thing or two about picking stocks. In fact, he estimates that he made his investors over $1 billion dollars on a single energy trade rooted in sound analysis and near-perfect execution.
The trade was … [+5098 chars]",164
RAND,165
WASHINGTON (AP) The Justice Departments inspector general will conduct remote inspections of Bureau of Prisons facilities to ensure they are following best practices to mitigate the spread of the coronavirus after hundreds of federal inmates tested positive f… [+2705 chars],166
"Image copyrightGetty Images
Another 5.2 million Americans registered for unemployment benefits last week as businesses remain shut amid the coronavirus lockdown.
The new Department of Labor filings bring the number of jobless claims over the last four weeks… [+2628 chars]",167
"(CNN)US intelligence and national security officials say the United States government is looking into the possibility that the novel coronavirus originated in a Chinese laboratory rather than a market, according to multiple sources familiar with the matter wh… [+3734 chars]",168
"(Reuters) - The S&amp;P 500 and Dow Jones slipped on Thursday, giving up early gains as concerns about dismal first-quarter earnings and lasting economic damage from the coronavirus pandemic offset better-than-expected weekly jobless claims numbers. 
A 4.7% … [+3291 chars]",169
